Week,Taylor Swift,Drake,Justin Bieber,Eminem,Selena Gomez
2010-01-10,13,8,13,10,8
2010-01-17,15,9,14,6,7
2010-01-24,15,9,14,7,7
2010-01-31,30,13,17,11,7
2010-02-07,16,9,17,8,8
2010-02-14,14,10,20,8,8
2010-02-21,11,8,24,7,7
2010-02-28,12,11,26,7,7
2010-03-07,11,13,26,7,7
2010-03-14,9,13,32,7,7
2010-03-21,10,15,43,8,7
2010-03-28,10,13,51,7,8
2010-04-04,8,12,48,7,8
2010-04-11,10,15,46,8,7
2010-04-18,10,14,38,8,6
2010-04-25,10,14,39,18,6
2010-05-02,9,15,39,20,7
2010-05-09,10,19,41,21,7
2010-05-16,9,18,45,17,6
2010-05-23,9,20,42,16,6
2010-05-30,9,24,35,16,6
2010-06-06,9,22,40,36,6
2010-06-13,8,28,38,34,6
2010-06-20,7,26,36,44,8
2010-06-27,7,25,34,38,8
2010-07-04,7,22,39,33,8
2010-07-11,6,20,33,31,10
2010-07-18,7,19,35,29,14
2010-07-25,7,17,36,27,11
2010-08-01,12,17,38,29,9
2010-08-08,11,16,36,28,9
2010-08-15,8,17,34,23,8
2010-08-22,13,22,30,21,8
2010-08-29,14,21,30,22,7
2010-09-05,12,17,32,22,9
2010-09-12,22,22,36,30,8
2010-09-19,10,18,33,19,8
2010-09-26,9,18,30,18,7
2010-10-03,13,18,31,18,7
2010-10-10,14,17,31,20,7
2010-10-17,20,16,32,17,6
2010-10-24,44,16,28,16,6
2010-10-31,28,16,27,18,7
2010-11-07,25,18,26,16,7
2010-11-14,18,18,26,16,6
2010-11-21,28,18,35,18,7
2010-11-28,23,16,27,16,6
2010-12-05,19,16,27,16,6
2010-12-12,19,16,26,16,6
2010-12-19,17,15,29,18,9
2010-12-26,16,16,29,17,10
2011-01-02,18,16,32,15,19
2011-01-09,17,15,26,14,10
2011-01-16,18,15,29,14,11
2011-01-23,14,14,28,14,10
2011-01-30,15,14,36,13,8
2011-02-06,14,13,52,20,10
2011-02-13,16,16,84,32,13
2011-02-20,13,13,87,18,10
2011-02-27,11,12,72,17,23
2011-03-06,10,11,46,15,14
2011-03-13,9,10,39,15,13
2011-03-20,9,10,35,14,14
2011-03-27,9,11,34,13,12
2011-04-03,14,12,30,13,12
2011-04-10,10,10,27,13,10
2011-04-17,10,9,27,12,11
2011-04-24,10,8,26,12,10
2011-05-01,10,8,24,13,9
2011-05-08,12,10,26,12,9
2011-05-15,10,12,32,12,9
2011-05-22,12,14,40,11,20
2011-05-29,12,13,36,12,18
2011-06-05,12,16,34,15,21
2011-06-12,12,19,31,16,23
2011-06-19,12,20,32,13,20
2011-06-26,12,20,32,15,26
2011-07-03,11,16,27,14,22
2011-07-10,10,15,26,14,19
2011-07-17,10,14,26,13,18
2011-07-24,11,14,25,14,18
2011-07-31,11,23,27,14,20
2011-08-07,13,19,27,15,19
2011-08-14,17,20,23,12,17
2011-08-21,12,18,21,13,14
2011-08-28,12,17,26,12,16
2011-09-04,10,17,20,12,12
2011-09-11,9,22,17,12,12
2011-09-18,10,19,16,12,11
2011-09-25,9,19,19,11,11
2011-10-02,10,21,18,11,11
2011-10-09,10,21,17,12,12
2011-10-16,10,27,21,13,12
2011-10-23,9,27,20,10,12
2011-10-30,22,26,69,10,17
2011-11-06,17,62,50,10,16
2011-11-13,13,58,32,9,12
2011-11-20,19,43,39,9,16
2011-11-27,13,37,29,9,12
2011-12-04,12,32,32,9,12
2011-12-11,13,32,26,9,12
2011-12-18,14,34,34,9,14
2011-12-25,14,33,31,9,16
2012-01-01,12,29,26,8,15
2012-01-08,10,35,22,9,12
2012-01-15,10,27,21,8,12
2012-01-22,10,25,19,8,12
2012-01-29,9,25,19,8,10
2012-02-05,9,22,17,9,11
2012-02-12,22,22,18,8,10
2012-02-19,14,21,18,8,12
2012-02-26,16,21,30,8,15
2012-03-04,12,18,21,8,12
2012-03-11,10,18,17,8,10
2012-03-18,10,20,16,8,9
2012-03-25,10,20,29,7,9
2012-04-01,15,19,26,7,12
2012-04-08,10,19,21,8,10
2012-04-15,9,17,34,8,10
2012-04-22,10,16,47,7,10
2012-04-29,10,18,25,10,8
2012-05-06,9,18,25,9,8
2012-05-13,9,18,20,9,9
2012-05-20,9,17,31,9,12
2012-05-27,8,17,34,8,10
2012-06-03,11,17,24,8,10
2012-06-10,8,42,25,8,10
2012-06-17,8,28,35,8,10
2012-06-24,7,19,29,9,10
2012-07-01,8,19,25,9,10
2012-07-08,8,15,24,9,11
2012-07-15,7,13,22,8,10
2012-07-22,8,13,25,8,14
2012-07-29,9,13,23,8,11
2012-08-05,7,15,22,7,10
2012-08-12,23,13,20,8,10
2012-08-19,19,12,20,8,9
2012-08-26,16,10,16,7,9
2012-09-02,22,13,18,8,9
2012-09-09,18,12,17,7,7
2012-09-16,11,11,17,8,7
2012-09-23,15,10,19,8,7
2012-09-30,18,9,29,7,10
2012-10-07,18,10,28,7,7
2012-10-14,20,11,22,11,7
2012-10-21,48,11,25,7,7
2012-10-28,32,9,22,8,7
2012-11-04,22,9,23,7,11
2012-11-11,26,9,33,7,21
2012-11-18,26,10,35,7,15
2012-11-25,18,9,25,8,9
2012-12-02,27,9,26,8,9
2012-12-09,29,8,31,7,8
2012-12-16,25,8,25,7,8
2012-12-23,25,9,30,7,11
2012-12-30,27,9,37,8,11
2013-01-06,29,9,62,7,9
2013-01-13,25,9,26,7,10
2013-01-20,19,9,28,7,10
2013-01-27,16,10,27,7,10
2013-02-03,15,13,24,6,9
2013-02-10,29,17,28,7,9
2013-02-17,17,16,22,7,10
2013-02-24,18,13,25,7,10
2013-03-03,18,15,27,6,9
2013-03-10,17,12,24,6,13
2013-03-17,15,12,20,7,17
2013-03-24,15,12,22,7,23
2013-03-31,13,11,21,7,15
2013-04-07,15,10,19,7,13
2013-04-14,13,17,23,7,18
2013-04-21,13,14,23,7,16
2013-04-28,14,12,19,8,13
2013-05-05,13,11,19,8,13
2013-05-12,12,11,15,16,16
2013-05-19,18,21,26,9,18
2013-05-26,13,12,21,8,14
2013-06-02,15,10,21,8,15
2013-06-09,12,10,20,8,14
2013-06-16,15,15,19,8,15
2013-06-23,11,18,21,8,15
2013-06-30,13,16,20,9,17
2013-07-07,12,15,25,8,16
2013-07-14,13,12,23,7,17
2013-07-21,14,13,21,7,23
2013-07-28,12,17,26,8,16
2013-08-04,12,20,23,8,14
2013-08-11,12,19,23,12,14
2013-08-18,11,17,18,15,12
2013-08-25,28,22,18,24,18
2013-09-01,12,19,15,14,11
2013-09-08,10,21,15,22,10
2013-09-15,9,57,19,13,9
2013-09-22,8,43,14,12,8
2013-09-29,8,30,13,11,8
2013-10-06,8,25,16,13,9
2013-10-13,7,24,14,20,11
2013-10-20,8,22,15,14,8
2013-10-27,7,21,14,27,9
2013-11-03,12,20,26,40,10
2013-11-10,10,22,20,26,10
2013-11-17,9,19,19,21,9
2013-11-24,13,18,17,18,15
2013-12-01,9,17,17,16,10
2013-12-08,12,18,18,15,10
2013-12-15,9,19,29,15,9
2013-12-22,9,18,39,16,13
2013-12-29,9,19,23,12,15
2014-01-05,7,16,18,12,11
2014-01-12,8,15,28,11,9
2014-01-19,7,21,100,10,12
2014-01-26,23,19,58,11,10
2014-02-02,8,14,41,9,13
2014-02-09,9,14,35,9,10
2014-02-16,8,14,21,10,9
2014-02-23,7,14,19,10,8
2014-03-02,6,14,20,10,9
2014-03-09,7,13,27,9,14
2014-03-16,6,15,16,11,10
2014-03-23,6,16,15,11,10
2014-03-30,6,20,14,10,9
2014-04-06,7,18,15,10,9
2014-04-13,6,15,14,11,8
2014-04-20,6,14,14,9,8
2014-04-27,5,14,13,9,9
2014-05-04,6,16,14,8,8
2014-05-11,6,15,14,12,9
2014-05-18,6,13,12,8,11
2014-05-25,6,12,12,9,8
2014-06-01,6,20,20,7,8
2014-06-08,5,16,12,7,8
2014-06-15,6,15,11,7,9
2014-06-22,5,13,10,8,9
2014-06-29,5,13,11,10,9
2014-07-06,6,12,11,8,14
2014-07-13,5,19,11,8,13
2014-07-20,6,13,10,8,12
2014-07-27,5,12,22,8,12
2014-08-03,6,14,15,10,12
2014-08-10,8,15,10,9,10
2014-08-17,32,16,10,10,9
2014-08-24,22,16,9,11,8
2014-08-31,12,13,10,8,13
2014-09-07,15,11,10,8,6
2014-09-14,12,11,8,7,7
2014-09-21,11,11,7,8,7
2014-09-28,10,10,8,7,7
2014-10-05,10,10,7,7,6
2014-10-12,16,10,7,8,7
2014-10-19,17,17,7,7,6
2014-10-26,38,19,7,7,5
2014-11-02,39,14,7,7,9
2014-11-09,40,13,8,11,8
2014-11-16,27,11,8,9,7
2014-11-23,37,11,10,11,17
2014-11-30,26,10,9,8,8
2014-12-07,30,24,10,7,8
2014-12-14,25,13,9,7,7
2014-12-21,24,11,10,13,8
2014-12-28,34,11,10,10,10
2015-01-04,21,10,15,8,8
2015-01-11,20,9,13,7,9
2015-01-18,22,10,15,7,9
2015-01-25,22,11,10,9,8
2015-02-01,19,10,9,7,8
